# sampleTime, q_w, q_x, q_y, q_z, systemTime, omega_x, omega_y, omega_z, alpha_x, alpha_y, alpha_z, p_x, p_y, p_z, v_x, v_y, v_z, a_x, a_y, a_z
0.1153846, 1, 5.9657344e-07, 2.1958314e-08, -3.3991012e-07, 0.1153846094903254, -2.4734629e-06, 7.603881e-07, 7.6038731e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5948584e-06, -9.5367432e-07, 3.7482887e-06
0.125, 1, 5.7973324e-07, 2.5792328e-08, -3.3290678e-07, 0.1249999944042516, -2.6106161e-06, 8.3456308e-07, 8.3456229e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9317316e-06, -9.5367432e-07, 4.2344273e-06
0.125, 1, 5.7973324e-07, 2.5792328e-08, -3.3290678e-07, 0.1249999944042516, -2.6106161e-06, 8.3456308e-07, 8.3456229e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9317316e-06, -9.5367432e-07, 4.2344273e-06
0.125, 1, 5.7973324e-07, 2.5792328e-08, -3.3290678e-07, 0.1249999944042516, -2.6106161e-06, 8.3456308e-07, 8.3456229e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9317316e-06, -9.5367432e-07, 4.2344273e-06
0.1346154, 1, 5.6159109e-07, 3.0003168e-08, -3.2511232e-07, 0.1346153812996594, -2.763298e-06, 9.1714782e-07, 9.1714702e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2604776e-06, -9.5367432e-07, 4.7086919e-06
0.1346154, 1, 5.6159109e-07, 3.0003168e-08, -3.2511232e-07, 0.1346153812996594, -2.763298e-06, 9.1714782e-07, 9.1714702e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2604776e-06, -9.5367432e-07, 4.7086919e-06
0.1346154, 1, 5.6159109e-07, 3.0003168e-08, -3.2511232e-07, 0.1346153812996594, -2.763298e-06, 9.1714782e-07, 9.1714702e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2604776e-06, -9.5367432e-07, 4.7086919e-06
0.1442308, 1, 5.4209767e-07, 3.4631267e-08, -3.165039e-07, 0.1442307698120778, -2.9315061e-06, 1.008142e-06, 1.008141e-06, -9.4196184e-06, 5.0905333e-06, 5.0905301e-06, 0, 0, 0, 0, 0, 0, 3.5814396e-06, -9.5367432e-07, 5.1715792e-06
0.1442308, 1, 5.4209767e-07, 3.4631267e-08, -3.165039e-07, 0.1442307698120778, -2.9315061e-06, 1.008142e-06, 1.008141e-06, -9.4196184e-06, 5.0905333e-06, 5.0905301e-06, 0, 0, 0, 0, 0, 0, 3.5814396e-06, -9.5367432e-07, 5.1715792e-06
0.1442308, 1, 5.4209767e-07, 3.4631267e-08, -3.165039e-07, 0.1442307698120778, -2.9315061e-06, 1.008142e-06, 1.008141e-06, -9.4196184e-06, 5.0905333e-06, 5.0905301e-06, 0, 0, 0, 0, 0, 0, 3.5814396e-06, -9.5367432e-07, 5.1715792e-06
